card_number,customer_id,card_brand_id,card_verification_value,card_type
4485 9915 9478 3262,1,1,317,DEBIT
645 34826 46785 354,2,4,987,CREDIT
490537 44 5651 8557 485,3,4,366,DEBIT
67061827946781959,4,5,424,DEBIT
2149 893189 76535,5,5,607,CREDIT
6334 5434 7874 7559,6,3,778,CREDIT
630454 96 6956 1726 536,7,3,686,DEBIT
670993722721322130,8,4,871,CREDIT
5137534715413880,9,2,333,CREDIT
437944 856477 4580,10,4,607,CREDIT
3038 433881 72975,11,2,889,CREDIT
3046 338187 76894,12,3,934,DEBIT
490537825625532547,13,2,369,CREDIT
484438 413964 3835,14,1,160,CREDIT
5038 744696 1824,15,3,485,CREDIT
3622 845833 54159,16,2,757,CREDIT
4175009449831452,17,1,513,DEBIT
543535 8283624663,18,3,236,CREDIT
6706 5245 5595 3765,19,5,888,DEBIT
4917 4455 8254 8839,20,4,183,DEBIT
5266 7396 7368 2524,21,2,167,CREDIT
3668 388443 83855,22,3,316,DEBIT
369338449326448,23,5,161,DEBIT
6761 484873 6634,24,2,742,DEBIT
677196 866671 8486,25,2,740,CREDIT
63044871441534357,26,4,508,CREDIT
4913 6774 5695 3463,27,2,263,DEBIT
6767 3287 4282 6728,28,3,304,CREDIT
3035 268564 84713,29,3,976,CREDIT
2014 312791 81727,30,3,455,DEBIT
3459 454571 53677,31,3,957,CREDIT
2149 217337 89524,32,1,340,CREDIT
364745916125639,33,3,358,CREDIT
301243643444164,34,5,913,CREDIT
490 36875 15888 891,35,3,892,CREDIT
2014 422234 51553,36,1,915,CREDIT
3632 312232 75764,37,4,970,DEBIT
4844 2446 5236 8626,38,3,607,CREDIT
417 50083 46818 646,39,4,769,DEBIT
214956256285567,40,3,484,CREDIT
3786 497955 93871,41,5,650,CREDIT
6542665236415282,42,2,396,DEBIT
529856 6571578476,43,3,424,DEBIT
4917 3585 7816 4133,44,3,322,DEBIT
6759237673810,45,3,494,DEBIT
676 73965 85232 999,46,4,322,CREDIT
471682 4285256572,47,1,567,DEBIT
6331 1071 8655 6331,48,5,918,CREDIT
5524 6276 5232 6163,49,4,490,DEBIT
3006 723374 94310,50,2,946,CREDIT
365147456827881,51,4,544,CREDIT
4175 0061 8337 1711,52,3,264,CREDIT
300853657126720,53,2,760,CREDIT
2149 354836 28237,54,4,518,DEBIT
633445 38 4677 2275 294,55,3,443,DEBIT
3726 128536 63289,56,3,990,CREDIT
677171 63 6533 3792 818,57,4,900,DEBIT
368583487991691,58,4,649,CREDIT
2014 483894 54851,59,3,334,CREDIT
300986438151441,60,2,776,CREDIT
645948 1363648427,61,3,638,DEBIT
5126 3785 5282 2339,62,4,547,CREDIT
491341 9655288718,63,3,204,CREDIT
547379 342652 6826,64,4,448,DEBIT
214922752235233,65,3,166,DEBIT
4024 007 15 8645,66,3,813,CREDIT
5018 7935 9365 7968,67,1,775,DEBIT
659 99515 51286 611,68,1,131,DEBIT
2149 986465 77220,69,2,436,DEBIT
5323 6128 3163 4870,70,5,319,CREDIT
645886 599627 3598,71,5,430,CREDIT
525543 4158767627,72,3,404,CREDIT
67715678448624761,73,5,255,DEBIT
342883227281721,74,2,986,DEBIT
6334468312475637325,75,3,204,CREDIT
3737 298394 46537,76,2,419,CREDIT
670633 63 1538 3157 467,77,4,457,CREDIT
366798888317245,78,2,861,CREDIT
4532422629966,79,3,621,DEBIT
450832 3871642396,80,2,827,CREDIT
6478485646615662,81,4,590,DEBIT
455663 397156 9427,82,3,336,DEBIT
367687124448279,83,5,605,CREDIT
448 54787 93265 648,84,1,548,DEBIT
3666 958845 18851,85,4,325,CREDIT
630 44872 73684 854,86,3,332,DEBIT
4026584782164829,87,4,194,CREDIT
493666 124335 8445,88,2,203,CREDIT
587647 9913966831,89,2,139,CREDIT
453912 736764 4847,90,3,935,DEBIT
2149 339229 69874,91,3,991,DEBIT
4485931936481,92,2,919,DEBIT
6761215598944,93,3,689,CREDIT
3666 838413 47317,94,3,732,DEBIT
2149 565834 26348,95,5,276,CREDIT
676742892824394525,96,3,696,DEBIT
2149 282262 32672,97,2,991,CREDIT
2014 317774 75639,98,2,860,DEBIT
670929 32 5988 2832 433,99,1,880,CREDIT
304529496257548,100,5,265,DEBIT
3026 787825 64562,101,3,357,CREDIT
647 48144 27692 885,102,3,924,CREDIT
4485 3937 8468 1689,103,2,271,DEBIT
3422 262962 51383,104,4,399,DEBIT
5018625736242631,105,2,933,DEBIT
374973543425382,106,1,298,DEBIT
6544 3689 2727 8956,107,4,375,CREDIT
374421775717290,108,2,693,DEBIT
6759527493328582,109,1,213,CREDIT
378839821126263,110,3,966,CREDIT
6334353754969855,111,1,321,DEBIT
5038766689827683339,112,3,505,DEBIT
3478 353238 45457,113,4,746,DEBIT
2149 287482 77973,114,5,693,CREDIT
646262 8922335756,115,2,112,DEBIT
3664 472268 46974,116,4,284,CREDIT
214942282881934,117,1,714,CREDIT
646 48838 22446 561,118,3,787,CREDIT
6304 8761 7242 8944,119,4,581,CREDIT
633482 655847 7282,120,1,818,CREDIT
5721 787883 3311,121,1,756,CREDIT
554965 4933584536,122,3,879,CREDIT
305557831144740,123,1,824,DEBIT
369263663269779,124,4,585,DEBIT
3016 764675 22534,125,3,784,DEBIT
588781 2352376624,126,3,252,DEBIT
565 18827 73796 399,127,2,786,DEBIT
303489594394753,128,4,452,DEBIT
201442378858594,129,2,868,CREDIT
6767658182238528686,130,3,831,CREDIT
4916 6283 1326 7388,131,4,909,DEBIT
633444 8596637478,132,2,534,CREDIT
493 68372 31256 946,133,3,790,DEBIT
553 38667 22766 565,134,3,462,CREDIT
670652 6585747281,135,2,130,CREDIT
2149 761275 47169,136,2,308,DEBIT
633432496223762229,137,2,602,DEBIT
5262286869314656,138,4,128,DEBIT
630436439428687264,139,3,279,CREDIT
4175 0083 4624 8851,140,3,116,DEBIT
4903688465495611559,141,3,940,DEBIT
6771463485277634662,142,3,435,CREDIT
589396932637727,143,2,416,DEBIT
651447 814657 5441,144,2,370,CREDIT
362357944649499,145,2,147,DEBIT
4929 242 38 5425,146,3,262,DEBIT
369333775563961,147,4,678,DEBIT
6011 5964 3367 5810,148,3,482,CREDIT
493625 778722 7268,149,5,260,DEBIT
6479 5874 4415 2399,150,4,127,DEBIT
601183 376687 4599,151,4,761,CREDIT
645593 7446634712,152,2,730,CREDIT
6706 8373 1617 8294,153,3,940,DEBIT
646846 3663384449,154,4,441,CREDIT
201435544863621,155,3,633,DEBIT
648643 7185467146,156,5,155,CREDIT
342856741359686,157,2,341,DEBIT
3013 312582 64637,158,5,227,DEBIT
6759 4231 3684 1449,159,3,822,CREDIT
5018233384623754,160,4,347,CREDIT
214923962462351,161,4,565,DEBIT
6762 7484 3258 7451,162,2,370,CREDIT
501815889862685236,163,5,293,DEBIT
4556147588884,164,2,400,DEBIT
3443 586724 52349,165,3,450,DEBIT
302954568453670,166,3,247,CREDIT
633437 4747469860,167,3,305,CREDIT
490538 29 2264 7616 765,168,3,783,DEBIT
527 65326 58743 629,169,4,709,CREDIT
3058 884975 58679,170,3,427,DEBIT
5893 6494 6168 5335,171,5,916,CREDIT
366742421248319,172,2,672,DEBIT
417 50076 52434 543,173,3,645,CREDIT
503859 2421372535,174,2,669,DEBIT
6331104755487139,175,4,459,CREDIT
347622656187529,176,3,688,CREDIT
490334 53 6948 8863 869,177,2,872,CREDIT
3049 663782 85736,178,3,945,DEBIT
6304 9313 5847 1182,179,3,364,CREDIT
3734 479965 66621,180,3,156,DEBIT
676135 684846 4678,181,3,668,DEBIT
648 28438 46434 769,182,2,454,DEBIT
4913 2366 4581 7269,183,1,845,CREDIT
484 43515 34958 662,184,4,885,DEBIT
4532 3626 7832 7884,185,3,155,CREDIT
5125 1558 1568 4867,186,4,389,DEBIT
648211 1282857848,187,4,151,CREDIT
214966337837740,188,3,468,DEBIT
305545298266833,189,3,444,DEBIT
214939754721424,190,1,271,CREDIT
402 63833 38285 760,191,4,614,CREDIT
301747747733330,192,3,184,DEBIT
366897267762789,193,1,567,CREDIT
491752 4423549725,194,2,845,DEBIT
362359499853278,195,3,827,DEBIT
448 57836 87472 774,196,4,250,DEBIT
362478753555849,197,2,193,DEBIT
649 86737 74912 714,198,2,471,CREDIT
3013 712589 99329,199,3,936,DEBIT
3441 555658 46615,200,1,843,DEBIT
4024 0071 8667 8360,201,4,939,CREDIT
676742 7379962374,202,4,969,CREDIT
3653 441726 51220,203,3,822,CREDIT
3044 336979 75448,204,3,125,DEBIT
